Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Phiroz Zal Navroze,MGT 71 - Business & Operations Mgt (A),WI23,118,24,82.6%,87.0%,5.72,A- (3.86),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106138
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),FA22,86,20,88.9%,100.0%,3.76,B (3.28),B- (2.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087726
Ehrich Kristine R,MGT 103 - Product Marketing & Management (B),FA22,87,31,86.2%,86.2%,5.43,B+ (3.34),B- (2.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087727
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),FA22,66,55,84.9%,84.9%,3.9,B+ (3.38),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087728
Eberhard Craig A,MGT 103 - Product Marketing & Management (D),FA22,82,61,90.2%,91.7%,4.03,B (3.28),B- (2.86),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087729
Demill Burritt,MGT 103 - Product Marketing & Management (E),FA22,85,77,100.0%,100.0%,4.58,B+ (3.62),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087730
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),FA22,89,80,93.8%,92.5%,4.68,B+ (3.33),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087731
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),FA22,82,76,98.7%,96.1%,5.0,B+ (3.40),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087732
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),FA22,111,89,97.8%,95.5%,4.3,A- (3.76),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087733
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),FA22,78,65,76.9%,72.3%,3.91,B (3.13),B- (2.91),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087734
Amir On,MGT 108R - Applied Market Research (A),FA22,226,169,98.2%,97.6%,4.75,A- (3.95),A- (3.93),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087735
Campbell Colin Leslie,MGT 109 - Topics in Marketing (A),FA22,83,76,86.8%,93.4%,4.71,B+ (3.53),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087736
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (A),FA22,39,26,80.8%,80.8%,6.66,B+ (3.56),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087737
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),FA22,33,25,76.0%,72.0%,7.06,B+ (3.64),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087738
Ehrich Kristine R,MGT 112 - Global Business Strategy (C),FA22,35,10,88.9%,100.0%,5.83,B+ (3.44),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087739
Zimmermann Carsten,MGT 112 - Global Business Strategy (D),FA22,88,63,88.9%,88.9%,4.98,B+ (3.59),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087740
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),FA22,98,28,95.8%,91.3%,2.9,A- (3.75),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087709
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (B),FA22,98,81,97.5%,97.5%,3.56,A- (3.85),A- (3.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087710
Wang Helen Shan,MGT 121A - Innovation to Market A (A),FA22,65,44,88.6%,97.7%,5.32,A- (3.79),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087741
Wang Helen Shan,MGT 121A - Innovation to Market A (B),FA22,64,47,89.1%,95.7%,6.07,A- (3.80),B+ (3.66),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087742
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),FA22,71,48,81.3%,72.9%,6.54,B- (2.98),C (2.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087743
Blakley Bruce,MGT 132 - Auditing (A),FA22,48,19,93.8%,81.3%,8.13,B (3.06),B- (2.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087744
Houskeeper Robert,MGT 134 - Federal Taxation-Individuals (A),FA22,26,12,75.0%,75.0%,5.33,B (3.29),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087745
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),FA22,47,41,97.6%,95.1%,6.55,B+ (3.46),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087746
Perols Johan Lars,MGT 139 - Accounting Information Systems (A),FA22,23,9,100.0%,88.9%,4.72,B+ (3.57),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087747
Perols Johan Lars,MGT 153 - Business Analytics (A),FA22,80,31,90.0%,100.0%,5.19,B+ (3.38),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087748
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),FA22,83,32,87.1%,90.3%,5.21,B+ (3.63),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087749
Phiroz Zal Navroze,MGT 153 - Business Analytics (C),FA22,89,23,90.9%,95.2%,5.36,A- (3.84),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087750
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),FA22,97,54,92.5%,92.3%,3.56,B+ (3.69),B- (2.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087711
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),FA22,107,68,95.5%,97.0%,3.68,B+ (3.65),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087712
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (C),FA22,110,97,99.0%,100.0%,3.43,A- (3.99),A- (3.95),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087713
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (D),FA22,107,91,100.0%,97.8%,3.23,A- (3.90),A- (3.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087714
Buchanan Harold G,MGT 16 - Personal Ethics at Work (E),FA22,99,82,97.6%,98.8%,4.03,B+ (3.48),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=094819
Gneezy Uri,MGT 162R - Negotiations (A),FA22,200,49,100.0%,100.0%,4.63,A- (3.88),B+ (3.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087751
McKay Mary A,MGT 164 - Business and Org Leadership (A),FA22,86,24,87.0%,87.0%,6.15,B (3.05),C+ (2.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087752
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (B),FA22,84,80,85.0%,83.8%,5.45,A- (3.73),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087753
Smith Pamela Karen,MGT 164 - Business and Org Leadership (C),FA22,90,32,89.7%,93.1%,5.21,B+ (3.54),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087754
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),FA22,45,33,87.9%,81.8%,3.89,B+ (3.31),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087755
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),FA22,64,53,81.1%,84.9%,6.08,B (3.27),B- (2.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087756
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),FA22,16,11,81.8%,90.9%,5.23,B (3.18),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087757
Demill Burritt,MGT 166 - Corp Social Responsibility (D),FA22,89,87,95.4%,95.4%,5.88,B+ (3.56),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087758
Klaas Jeffrey David,MGT 167 - Social Entrepreneurship (A),FA22,72,58,94.8%,96.5%,4.02,B+ (3.68),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087759
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (B),FA22,87,45,100.0%,100.0%,3.5,A- (3.83),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087760
Phiroz Zal Navroze,MGT 171 - Operations Management (A),FA22,73,26,78.3%,91.3%,4.85,A- (3.78),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087761
Hedges Kathleen,MGT 172 - Business Project Management (A),FA22,97,81,95.0%,97.5%,5.28,B+ (3.50),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087762
Royal Rebecca,MGT 172 - Business Project Management (A),FA22,97,81,95.0%,93.8%,5.28,B+ (3.50),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087762A
Hedges Kathleen,MGT 172 - Business Project Management (B),FA22,89,71,100.0%,97.2%,4.44,B+ (3.68),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087763
Zimmermann Carsten,MGT 172 - Business Project Management (C),FA22,84,57,84.2%,96.5%,4.64,B+ (3.39),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087764
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),FA22,100,88,96.6%,98.9%,4.32,A- (3.94),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087765
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),FA22,80,32,90.3%,93.5%,5.92,B (3.23),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087766
McKay Michael J,MGT 18 - Managing Diverse Teams (A),FA22,85,22,72.7%,86.4%,2.68,B+ (3.50),B- (2.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087715
McKay Michael J,MGT 18 - Managing Diverse Teams (B),FA22,86,36,88.2%,94.1%,2.74,B+ (3.66),B- (2.86),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087716
McKay Michael J,MGT 18 - Managing Diverse Teams (C),FA22,83,40,73.0%,86.5%,2.78,B+ (3.47),B- (2.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087717
McKay Mary A,MGT 18 - Managing Diverse Teams (D),FA22,87,35,82.9%,76.5%,5.19,B+ (3.40),B- (2.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087718
McKay Mary A,MGT 18 - Managing Diverse Teams (E),FA22,84,33,59.4%,48.4%,5.25,B+ (3.34),C+ (2.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087719
Buchanan Harold G,MGT 181 - Enterprise Finance (A),FA22,63,57,87.7%,87.7%,6.92,B+ (3.33),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087767
Buchanan Harold G,MGT 181 - Enterprise Finance (B),FA22,112,103,93.2%,89.3%,6.23,B (3.23),B (3.02),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087768
Bliss Barbara Ann,MGT 181 - Enterprise Finance (C),FA22,113,101,94.1%,98.0%,5.51,B+ (3.49),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087769
Dunn Louis Jean,MGT 185 - Investment Banking (A),FA22,67,19,76.5%,88.2%,7.91,B+ (3.59),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087771
Dunn Louis Jean,MGT 187 - New Venture Finance (A),FA22,142,41,91.9%,83.8%,4.61,B+ (3.67),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087772
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),FA22,76,27,92.3%,100.0%,6.13,B (3.25),B (3.01),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087704
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),FA22,139,119,89.8%,93.2%,6.26,B (3.18),B- (2.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087720
Pecore Joseph P.,MGT 45 - Principles of Accounting (B),FA22,141,119,89.1%,92.4%,5.65,B+ (3.39),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087721
Houskeeper Robert,MGT 5 - Managerial Accounting (A),FA22,165,113,74.3%,72.6%,5.58,B (3.21),C+ (2.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087708
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),FA22,86,67,89.4%,93.9%,3.17,A- (3.75),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087722
August Terrence,MGT 71 - Business & Operations Mgt (A),FA22,91,76,86.7%,96.0%,5.81,B+ (3.53),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087723
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S222,82,12,100.0%,91.7%,6.9,B+ (3.36),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084101
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S222,78,21,81.0%,81.0%,7.93,A- (3.71),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084102
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S222,84,64,100.0%,100.0%,4.21,A- (3.97),A- (3.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084098
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S222,52,11,100.0%,100.0%,6.72,A (4.00),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083440
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S222,45,41,90.2%,95.1%,8.74,B+ (3.34),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084103
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S222,30,23,87.0%,91.3%,7.63,A- (3.74),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084104
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (A),S222,28,23,87.0%,100.0%,5.63,A- (3.72),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084099
Anderson John Charles,MGT 4 - Financial Accounting (A),S222,61,49,87.8%,83.7%,8.13,B+ (3.36),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084097
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),S122,77,74,86.5%,81.1%,6.69,B+ (3.50),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083796
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),S122,35,9,77.8%,66.7%,10.28,B+ (3.67),B- (2.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083797
Anderson John Charles,MGT 132 - Auditing (A),S122,20,17,87.5%,100.0%,7.75,B (3.25),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083798
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),S122,28,24,95.8%,95.8%,7.08,B+ (3.54),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083799
Yavorsky Daniel Ryan,MGT 153 - Business Analytics (A),S122,80,36,97.1%,100.0%,8.39,A- (3.89),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083800
McKay Michael J,MGT 16 - Personal Ethics at Work (A),S122,47,4,75.0%,100.0%,6.5,A (4.00),B (3.19),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083793
McKay Mary A,MGT 164 - Business and Org Leadership (A),S122,48,9,66.7%,55.6%,4.94,B+ (3.44),C+ (2.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083801
Hedges Kathleen,MGT 172 - Business Project Management (A),S122,84,74,93.2%,97.3%,7.23,B+ (3.68),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083802
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S122,27,7,100.0%,100.0%,4.9,B+ (3.60),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083794
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S122,83,8,83.3%,83.3%,7.7,B+ (3.60),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=091964
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S122,70,16,100.0%,100.0%,7.97,B (3.29),B (3.10),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083795
Houskeeper Robert,MGT 5 - Managerial Accounting (A),S122,52,13,76.9%,76.9%,6.04,A- (3.83),B- (2.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083792
Wilbur Kenneth C,MGT 100 - Customer Analytics (A),SP22,49,38,97.4%,97.4%,6.97,B+ (3.61),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=082840
Wilbur Kenneth C,MGT 102 - E-Commerce (A),SP22,81,52,86.3%,90.2%,5.99,B+ (3.70),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076801
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),SP22,87,35,93.5%,90.3%,3.94,B+ (3.48),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076802
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),SP22,17,12,100.0%,100.0%,3.33,B+ (3.33),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076803
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),SP22,40,27,85.2%,81.5%,3.54,B+ (3.46),B- (2.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076804
Demill Burritt,MGT 103 - Product Marketing & Management (D),SP22,87,86,98.8%,97.7%,4.64,B+ (3.65),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076805
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (E),SP22,80,65,90.8%,89.2%,4.37,B+ (3.34),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076806
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),SP22,69,52,98.1%,98.1%,4.5,B+ (3.43),B (3.02),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076807
Demill Burritt,MGT 103 - Product Marketing & Management (G),SP22,88,85,98.8%,98.8%,5.14,B+ (3.51),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076808
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),SP22,112,85,90.6%,90.6%,3.77,B+ (3.61),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076809
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),SP22,81,60,88.3%,86.7%,3.53,B (3.12),B- (2.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076810
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (A),SP22,32,26,88.5%,92.3%,6.42,B+ (3.54),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076811
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),SP22,17,16,68.8%,75.0%,3.75,B+ (3.50),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076812
Ehrich Kristine R,MGT 112 - Global Business Strategy (C),SP22,84,50,90.0%,90.0%,6.5,B+ (3.44),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076813
Ehrich Kristine R,MGT 112 - Global Business Strategy (D),SP22,77,44,97.7%,93.2%,5.59,B+ (3.51),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076814
Samek Anya,MGT 112 - Global Business Strategy (E),SP22,61,46,95.7%,97.8%,3.93,B+ (3.53),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076815
Anderson Jon Marcus,MGT 119 - Topics in Business (A),SP22,43,36,100.0%,100.0%,4.04,A- (3.88),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076816
Davis Kathleen Ann,MGT 119 - Topics in Business (B),SP22,23,3,100.0%,100.0%,3.17,A (4.00),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076817
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),SP22,94,23,100.0%,90.5%,2.21,B+ (3.56),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076786
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (B),SP22,114,81,98.8%,100.0%,3.23,A- (3.97),A- (3.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076787
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (C),SP22,112,83,100.0%,100.0%,3.11,A- (3.95),A- (3.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076788
Pecore Joseph P.,MGT 12 - Personal Financial Management (D),SP22,98,31,100.0%,92.9%,2.71,B+ (3.61),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084651
Klaas Jeffrey David,MGT 121B - Innovation to Market B (A),SP22,64,62,96.8%,98.4%,4.82,B+ (3.50),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076819
Krishnan Viswanathan,MGT 128R - Business Innovation & Growth (A),SP22,79,68,89.7%,92.6%,4.62,B+ (3.51),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076820
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),SP22,52,41,90.2%,92.7%,6.45,B (3.00),C+ (2.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076821
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),SP22,33,25,92.0%,91.7%,5.86,B+ (3.44),B- (2.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076822
Blakley Bruce,MGT 132 - Auditing (A),SP22,55,16,60.0%,86.7%,5.03,B (3.20),B- (2.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076823
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),SP22,32,28,100.0%,100.0%,4.43,B+ (3.62),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076825
Anderson John Charles,MGT 147 - Not-for-profit & Govt Acct (A),SP22,26,23,95.7%,100.0%,4.33,B+ (3.50),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076826
Perols Johan Lars,MGT 153 - Business Analytics (A),SP22,70,20,89.5%,94.4%,6.71,B (3.22),B- (2.93),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076827
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),SP22,79,34,77.4%,83.9%,5.85,B+ (3.52),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076828
Bliss Barbara Ann,MGT 158 - Real Estate & the Tech Sector (A),SP22,77,50,98.0%,96.0%,4.34,B+ (3.66),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076829
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),SP22,109,87,94.1%,94.0%,3.64,B+ (3.60),B- (2.98),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076789
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),SP22,113,93,93.4%,95.6%,3.5,B+ (3.69),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076790
Buchanan Harold G,MGT 16 - Personal Ethics at Work (C),SP22,98,87,91.9%,90.7%,3.37,B+ (3.63),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076791
Sadoff Sally,MGT 160 - Experiments in Firms (A),SP22,94,79,93.6%,97.4%,5.21,A- (3.83),A- (3.91),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=082841
Demill Burritt,MGT 162 - Negotiations (A),SP22,82,76,98.7%,100.0%,3.79,A- (3.83),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076830
McKay Mary A,MGT 164 - Business and Org Leadership (A),SP22,50,17,82.4%,87.5%,5.44,B (3.29),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076831
McKay Mary A,MGT 164 - Business and Org Leadership (B),SP22,78,19,84.2%,84.2%,6.29,B (3.11),C+ (2.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076832
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),SP22,83,78,85.9%,93.6%,5.22,A- (3.83),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076833
Zimmermann Carsten,MGT 164 - Business and Org Leadership (D),SP22,82,65,89.2%,87.7%,4.41,B+ (3.65),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076834
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),SP22,56,48,83.3%,79.2%,5.33,B (3.06),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076835
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),SP22,67,54,77.8%,72.2%,6.8,B (3.15),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076836
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),SP22,40,27,81.5%,85.2%,5.31,B+ (3.40),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076837
Phiroz Zal Navroze,MGT 171 - Operations Management (A),SP22,69,24,78.3%,86.4%,3.8,B- (2.77),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076839
Hedges Kathleen,MGT 172 - Business Project Management (A),SP22,102,86,95.3%,98.8%,4.55,B+ (3.68),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076840
Royal Rebecca,MGT 172 - Business Project Management (A),SP22,102,85,95.2%,97.6%,4.55,B+ (3.68),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076840A
Hedges Kathleen,MGT 172 - Business Project Management (B),SP22,86,64,93.7%,98.4%,4.92,B+ (3.59),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076841
Moghadas Khorasani Sina,MGT 172 - Business Project Management (C),SP22,82,75,93.3%,97.3%,3.84,B+ (3.54),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076842
Moghadas Khorasani Sina,MGT 172 - Business Project Management (D),SP22,81,72,95.8%,97.2%,4.16,B+ (3.55),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076843
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),SP22,95,87,97.7%,95.4%,4.43,A- (3.91),A- (3.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076844
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),SP22,81,24,87.0%,90.9%,4.5,B+ (3.36),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076845
Gopal Christopher S.,MGT 176 - Strategic Cost Management (A),SP22,70,13,92.3%,92.3%,3.73,B+ (3.46),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076846
McKay Michael J,MGT 18 - Managing Diverse Teams (A),SP22,61,15,92.9%,92.9%,2.35,A- (3.90),C+ (2.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076792
McKay Michael J,MGT 18 - Managing Diverse Teams (B),SP22,83,34,93.3%,100.0%,3.73,B+ (3.62),B (3.01),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076793
McKay Michael J,MGT 18 - Managing Diverse Teams (C),SP22,84,29,100.0%,92.0%,3.46,B+ (3.52),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=076794
