Instructor,Last Name,First Name,Course,Quarter,Year,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,% Recommend Class,Percentage Recommended Professor,% Recommend Instructor,Study Hours per Week,Average Grade Expected,GPA Expected,Average Grade Received,GPA Received,Evalulation URL
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (A),WI23,2023,68,51,0.74,74,0.72,72,5.85,B- (2.98),2.98,B- (2.88),2.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106178
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (B),WI23,2023,61,46,0.652,65.2,0.717,71.7,5.67,B (3.20),3.2,B- (2.88),2.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106179
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (C),WI23,2023,31,24,0.826,82.6,0.783,78.3,5.02,B (3.27),3.27,B (3.14),3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106180
Jacob Jo Dee C,Jacob,Jo,MGT 167 - Social Entrepreneurship (A),WI23,2023,86,56,0.964,96.4,1,100,3.71,A- (3.88),3.88,B+ (3.49),3.49,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106182
Phiroz Zal Navroze,Phiroz,Zal,MGT 171 - Operations Management (A),WI23,2023,77,26,0.84,84,0.958,95.8,3.08,A- (3.78),3.78,B+ (3.60),3.6,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106183
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (A),WI23,2023,97,89,0.932,93.2,0.989,98.9,4.09,B+ (3.60),3.6,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106184
Royal Rebecca,Royal,Rebecca,MGT 172 - Business Project Management (A),WI23,2023,97,89,0.932,93.2,0.989,98.9,4.09,B+ (3.60),3.6,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106184A
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (B),WI23,2023,88,81,0.951,95.1,0.975,97.5,4.68,B+ (3.63),3.63,A- (3.74),3.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106185
Zimmermann Carsten,Zimmermann,Carsten,MGT 172 - Business Project Management (C),WI23,2023,72,44,0.884,88.4,0.884,88.4,3.36,B+ (3.65),3.65,B+ (3.56),3.56,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106186
Hayes Sherry Lorine,Hayes,Sherry,MGT 173 - Project Mgt- Health Services (A),WI23,2023,84,73,0.973,97.3,1,100,4.78,A- (3.78),3.78,B+ (3.56),3.56,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106187
Hayes Sherry Lorine,Hayes,Sherry,MGT 173 - Project Mgt- Health Services (B),WI23,2023,87,78,0.923,92.3,0.962,96.2,4.76,A- (3.88),3.88,B+ (3.61),3.61,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106188
Gopal Christopher S.,Gopal,Christopher,MGT 175 - Supply Chain Management (A),WI23,2023,78,27,0.8,80,0.84,84,4.1,B+ (3.54),3.54,B (3.18),3.18,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106189
Gopal Christopher S.,Gopal,Christopher,MGT 176 - Strategic Cost Management (A),WI23,2023,56,14,1,100,1,100,4.81,B+ (3.54),3.54,B+ (3.48),3.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116491
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (A),WI23,2023,84,26,0.762,76.2,0.85,85,3.5,B+ (3.53),3.53,B- (2.94),2.94,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106132
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (B),WI23,2023,83,34,0.912,91.2,0.971,97.1,3.09,B+ (3.63),3.63,B (3.06),3.06,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106133
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (C),WI23,2023,86,32,0.906,90.6,0.875,87.5,3.38,A- (3.71),3.71,B (3.25),3.25,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106134
McKay Mary A,McKay,Mary,MGT 18 - Managing Diverse Teams (D),WI23,2023,38,12,0.833,83.3,0.818,81.8,5.33,B (3.27),3.27,C+ (2.59),2.59,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106135
Chamberlain Travis Dean,Chamberlain,Travis,MGT 18 - Managing Diverse Teams (E),WI23,2023,90,86,0.953,95.3,1,100,4.1,B+ (3.61),3.61,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116489
Engelberg Joseph Edward,Engelberg,Joseph,MGT 180 - Business Finance (A),WI23,2023,150,63,0.967,96.7,1,100,6.95,B+ (3.59),3.59,B+ (3.33),3.33,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106190
Engelberg Joseph Edward,Engelberg,Joseph,MGT 180 - Business Finance (B),WI23,2023,149,40,1,100,0.974,97.4,6.65,B+ (3.67),3.67,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106191
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (A),WI23,2023,110,99,0.899,89.9,0.879,87.9,5.41,B+ (3.37),3.37,B (3.13),3.13,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106192
Bliss Barbara Ann,Bliss,Barbara,MGT 181 - Enterprise Finance (B),WI23,2023,93,78,0.962,96.2,0.962,96.2,5.5,B+ (3.46),3.46,B (3.25),3.25,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106193
Parashar Sat P,Parashar,Sat,MGT 184 - Money and Banking (A),WI23,2023,83,77,0.961,96.1,0.948,94.8,4.16,A- (3.89),3.89,A- (3.94),3.94,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106194
Dunn Louis Jean,Dunn,Louis,MGT 187 - New Venture Finance (A),WI23,2023,67,27,0.926,92.6,0.885,88.5,4.81,B+ (3.67),3.67,B+ (3.32),3.32,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106195
Dunn Louis Jean,Dunn,Louis,MGT 187 - New Venture Finance (B),WI23,2023,86,19,0.944,94.4,0.889,88.9,5.83,A- (3.71),3.71,B (3.19),3.19,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106196
Reher Michael Christopher,Reher,Michael,MGT 189 - Topics in Finance (A),WI23,2023,18,6,1,100,1,100,5.5,A (4.00),4,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106197
Wagner Timothy Ryan,Wagner,Timothy,MGT 3 - Quant Methods in Business (B),WI23,2023,56,17,0.8,80,0.867,86.7,5.17,C+ (2.64),2.64,B- (2.81),2.81,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=154866
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (A),WI23,2023,139,49,1,100,0.979,97.9,6.29,B+ (3.47),3.47,B (3.08),3.08,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106136
Floyd Eric,Floyd,Eric,MGT 45 - Principles of Accounting (B),WI23,2023,81,24,0.875,87.5,0.957,95.7,4.08,B+ (3.67),3.67,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106137
Houskeeper Robert,Houskeeper,Robert,MGT 5 - Managerial Accounting (A),WI23,2023,164,113,0.696,69.6,0.67,67,5.91,B- (2.98),2.98,C+ (2.43),2.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106123
Phiroz Zal Navroze,Phiroz,Zal,MGT 71 - Business & Operations Mgt (A),WI23,2023,118,24,0.826,82.6,0.87,87,5.72,A- (3.86),3.86,B+ (3.65),3.65,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106138
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (A),FA22,2022,86,20,0.889,88.9,1,100,3.76,B (3.28),3.28,B- (2.80),2.8,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087726
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (B),FA22,2022,87,31,0.862,86.2,0.862,86.2,5.43,B+ (3.34),3.34,B- (2.80),2.8,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087727
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (C),FA22,2022,66,55,0.849,84.9,0.849,84.9,3.9,B+ (3.38),3.38,B- (2.78),2.78,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087728
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (D),FA22,2022,82,61,0.902,90.2,0.917,91.7,4.03,B (3.28),3.28,B- (2.86),2.86,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087729
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (E),FA22,2022,85,77,1,100,1,100,4.58,B+ (3.62),3.62,B+ (3.44),3.44,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087730
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (F),FA22,2022,89,80,0.938,93.8,0.925,92.5,4.68,B+ (3.33),3.33,B (3.04),3.04,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087731
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (G),FA22,2022,82,76,0.987,98.7,0.961,96.1,5,B+ (3.40),3.4,B- (2.97),2.97,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087732
Campbell Robert Harold,Campbell,Robert,MGT 105 - Product Promotion & Brand Mgt (A),FA22,2022,111,89,0.978,97.8,0.955,95.5,4.3,A- (3.76),3.76,B+ (3.41),3.41,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087733
Eberhard Craig A,Eberhard,Craig,MGT 106 - Sales and Sales Management (A),FA22,2022,78,65,0.769,76.9,0.723,72.3,3.91,B (3.13),3.13,B- (2.91),2.91,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087734
Amir On,Amir,On,MGT 108R - Applied Market Research (A),FA22,2022,226,169,0.982,98.2,0.976,97.6,4.75,A- (3.95),3.95,A- (3.93),3.93,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087735
Campbell Colin Leslie,Campbell,Colin,MGT 109 - Topics in Marketing (A),FA22,2022,83,76,0.868,86.8,0.934,93.4,4.71,B+ (3.53),3.53,B+ (3.35),3.35,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087736
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (A),FA22,2022,39,26,0.808,80.8,0.808,80.8,6.66,B+ (3.56),3.56,B (3.27),3.27,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087737
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (B),FA22,2022,33,25,0.76,76,0.72,72,7.06,B+ (3.64),3.64,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087738
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (C),FA22,2022,35,10,0.889,88.9,1,100,5.83,B+ (3.44),3.44,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087739
Zimmermann Carsten,Zimmermann,Carsten,MGT 112 - Global Business Strategy (D),FA22,2022,88,63,0.889,88.9,0.889,88.9,4.98,B+ (3.59),3.59,B+ (3.49),3.49,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087740
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (A),FA22,2022,98,28,0.958,95.8,0.913,91.3,2.9,A- (3.75),3.75,B+ (3.40),3.4,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087709
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (B),FA22,2022,98,81,0.975,97.5,0.975,97.5,3.56,A- (3.85),3.85,A- (3.82),3.82,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087710
Wang Helen Shan,Wang,Helen,MGT 121A - Innovation to Market A (A),FA22,2022,65,44,0.886,88.6,0.977,97.7,5.32,A- (3.79),3.79,B+ (3.69),3.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087741
Wang Helen Shan,Wang,Helen,MGT 121A - Innovation to Market A (B),FA22,2022,64,47,0.891,89.1,0.957,95.7,6.07,A- (3.80),3.8,B+ (3.66),3.66,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087742
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),FA22,2022,71,48,0.813,81.3,0.729,72.9,6.54,B- (2.98),2.98,C (2.29),2.29,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087743
Blakley Bruce,Blakley,Bruce,MGT 132 - Auditing (A),FA22,2022,48,19,0.938,93.8,0.813,81.3,8.13,B (3.06),3.06,B- (2.80),2.8,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087744
Houskeeper Robert,Houskeeper,Robert,MGT 134 - Federal Taxation-Individuals (A),FA22,2022,26,12,0.75,75,0.75,75,5.33,B (3.29),3.29,B+ (3.63),3.63,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087745
Anderson John Charles,Anderson,John,MGT 135 - Federal Taxation-Companies (A),FA22,2022,47,41,0.976,97.6,0.951,95.1,6.55,B+ (3.46),3.46,B (3.29),3.29,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087746
Perols Johan Lars,Perols,Johan,MGT 139 - Accounting Information Systems (A),FA22,2022,23,9,1,100,0.889,88.9,4.72,B+ (3.57),3.57,B+ (3.69),3.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087747
Perols Johan Lars,Perols,Johan,MGT 153 - Business Analytics (A),FA22,2022,80,31,0.9,90,1,100,5.19,B+ (3.38),3.38,B (3.11),3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087748
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (B),FA22,2022,83,32,0.871,87.1,0.903,90.3,5.21,B+ (3.63),3.63,A- (3.72),3.72,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087749
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (C),FA22,2022,89,23,0.909,90.9,0.952,95.2,5.36,A- (3.84),3.84,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087750
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (A),FA22,2022,97,54,0.925,92.5,0.923,92.3,3.56,B+ (3.69),3.69,B- (2.89),2.89,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087711
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (B),FA22,2022,107,68,0.955,95.5,0.97,97,3.68,B+ (3.65),3.65,B- (2.97),2.97,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087712
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 16 - Personal Ethics at Work (C),FA22,2022,110,97,0.99,99,1,100,3.43,A- (3.99),3.99,A- (3.95),3.95,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087713
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 16 - Personal Ethics at Work (D),FA22,2022,107,91,1,100,0.978,97.8,3.23,A- (3.90),3.9,A- (3.82),3.82,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087714
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (E),FA22,2022,99,82,0.976,97.6,0.988,98.8,4.03,B+ (3.48),3.48,B (3.25),3.25,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=094819
Gneezy Uri,Gneezy,Uri,MGT 162R - Negotiations (A),FA22,2022,200,49,1,100,1,100,4.63,A- (3.88),3.88,B+ (3.68),3.68,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087751
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),FA22,2022,86,24,0.87,87,0.87,87,6.15,B (3.05),3.05,C+ (2.48),2.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087752
Meyer Alison Bloomfield,Meyer,Alison,MGT 164 - Business and Org Leadership (B),FA22,2022,84,80,0.85,85,0.838,83.8,5.45,A- (3.73),3.73,B+ (3.44),3.44,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087753
Smith Pamela Karen,Smith,Pamela,MGT 164 - Business and Org Leadership (C),FA22,2022,90,32,0.897,89.7,0.931,93.1,5.21,B+ (3.54),3.54,B (3.26),3.26,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087754
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (A),FA22,2022,45,33,0.879,87.9,0.818,81.8,3.89,B+ (3.31),3.31,B (3.03),3.03,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087755
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (B),FA22,2022,64,53,0.811,81.1,0.849,84.9,6.08,B (3.27),3.27,B- (2.81),2.81,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087756
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (C),FA22,2022,16,11,0.818,81.8,0.909,90.9,5.23,B (3.18),3.18,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087757
Demill Burritt,Demill,Burritt,MGT 166 - Corp Social Responsibility (D),FA22,2022,89,87,0.954,95.4,0.954,95.4,5.88,B+ (3.56),3.56,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087758
Klaas Jeffrey David,Klaas,Jeffrey,MGT 167 - Social Entrepreneurship (A),FA22,2022,72,58,0.948,94.8,0.965,96.5,4.02,B+ (3.68),3.68,B (3.29),3.29,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087759
Jacob Jo Dee C,Jacob,Jo,MGT 167 - Social Entrepreneurship (B),FA22,2022,87,45,1,100,1,100,3.5,A- (3.83),3.83,B+ (3.55),3.55,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087760
Phiroz Zal Navroze,Phiroz,Zal,MGT 171 - Operations Management (A),FA22,2022,73,26,0.783,78.3,0.913,91.3,4.85,A- (3.78),3.78,B+ (3.53),3.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087761
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (A),FA22,2022,97,81,0.95,95,0.975,97.5,5.28,B+ (3.50),3.5,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087762
Royal Rebecca,Royal,Rebecca,MGT 172 - Business Project Management (A),FA22,2022,97,81,0.95,95,0.938,93.8,5.28,B+ (3.50),3.5,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087762A
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (B),FA22,2022,89,71,1,100,0.972,97.2,4.44,B+ (3.68),3.68,B+ (3.63),3.63,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087763
Zimmermann Carsten,Zimmermann,Carsten,MGT 172 - Business Project Management (C),FA22,2022,84,57,0.842,84.2,0.965,96.5,4.64,B+ (3.39),3.39,B+ (3.38),3.38,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087764
Hayes Sherry Lorine,Hayes,Sherry,MGT 173 - Project Mgt- Health Services (A),FA22,2022,100,88,0.966,96.6,0.989,98.9,4.32,A- (3.94),3.94,A- (3.83),3.83,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087765
Gopal Christopher S.,Gopal,Christopher,MGT 175 - Supply Chain Management (A),FA22,2022,80,32,0.903,90.3,0.935,93.5,5.92,B (3.23),3.23,B (3.11),3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087766
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (A),FA22,2022,85,22,0.727,72.7,0.864,86.4,2.68,B+ (3.50),3.5,B- (2.81),2.81,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087715
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (B),FA22,2022,86,36,0.882,88.2,0.941,94.1,2.74,B+ (3.66),3.66,B- (2.86),2.86,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087716
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (C),FA22,2022,83,40,0.73,73,0.865,86.5,2.78,B+ (3.47),3.47,B- (2.87),2.87,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087717
McKay Mary A,McKay,Mary,MGT 18 - Managing Diverse Teams (D),FA22,2022,87,35,0.829,82.9,0.765,76.5,5.19,B+ (3.40),3.4,B- (2.89),2.89,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087718
McKay Mary A,McKay,Mary,MGT 18 - Managing Diverse Teams (E),FA22,2022,84,33,0.594,59.4,0.484,48.4,5.25,B+ (3.34),3.34,C+ (2.69),2.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087719
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (A),FA22,2022,63,57,0.877,87.7,0.877,87.7,6.92,B+ (3.33),3.33,B- (2.94),2.94,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087767
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (B),FA22,2022,112,103,0.932,93.2,0.893,89.3,6.23,B (3.23),3.23,B (3.02),3.02,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087768
Bliss Barbara Ann,Bliss,Barbara,MGT 181 - Enterprise Finance (C),FA22,2022,113,101,0.941,94.1,0.98,98,5.51,B+ (3.49),3.49,B (3.25),3.25,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087769
Dunn Louis Jean,Dunn,Louis,MGT 185 - Investment Banking (A),FA22,2022,67,19,0.765,76.5,0.882,88.2,7.91,B+ (3.59),3.59,B (3.23),3.23,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087771
Dunn Louis Jean,Dunn,Louis,MGT 187 - New Venture Finance (A),FA22,2022,142,41,0.919,91.9,0.838,83.8,4.61,B+ (3.67),3.67,B (3.24),3.24,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087772
Wagner Timothy Ryan,Wagner,Timothy,MGT 3 - Quant Methods in Business (A),FA22,2022,76,27,0.923,92.3,1,100,6.13,B (3.25),3.25,B (3.01),3.01,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087704
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (A),FA22,2022,139,119,0.898,89.8,0.932,93.2,6.26,B (3.18),3.18,B- (2.90),2.9,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087720
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (B),FA22,2022,141,119,0.891,89.1,0.924,92.4,5.65,B+ (3.39),3.39,B (3.17),3.17,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087721
Houskeeper Robert,Houskeeper,Robert,MGT 5 - Managerial Accounting (A),FA22,2022,165,113,0.743,74.3,0.726,72.6,5.58,B (3.21),3.21,C+ (2.63),2.63,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087708
Deal Jennifer Jean,Deal,Jennifer,MGT 52 - Test & Measurement at Work (A),FA22,2022,86,67,0.894,89.4,0.939,93.9,3.17,A- (3.75),3.75,B+ (3.41),3.41,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087722
August Terrence,August,Terrence,MGT 71 - Business & Operations Mgt (A),FA22,2022,91,76,0.867,86.7,0.96,96,5.81,B+ (3.53),3.53,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=087723
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (A),S222,2022,82,12,1,100,0.917,91.7,6.9,B+ (3.36),3.36,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084101
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (A),S222,2022,78,21,0.81,81,0.81,81,7.93,A- (3.71),3.71,B+ (3.48),3.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084102
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (A),S222,2022,84,64,1,100,1,100,4.21,A- (3.97),3.97,A- (3.90),3.9,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084098
Maki Kanetaka,Maki,Kanetaka,MGT 121A - Innovation to Market A (A),S222,2022,52,11,1,100,1,100,6.72,A (4.00),4,B+ (3.48),3.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083440
Anderson John Charles,Anderson,John,MGT 131B - Intermediate Accounting B (A),S222,2022,45,41,0.902,90.2,0.951,95.1,8.74,B+ (3.34),3.34,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084103
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 136 - Advanced Accounting (A),S222,2022,30,23,0.87,87,0.913,91.3,7.63,A- (3.74),3.74,A- (3.83),3.83,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084104
Chamberlain Travis Dean,Chamberlain,Travis,MGT 18 - Managing Diverse Teams (A),S222,2022,28,23,0.87,87,1,100,5.63,A- (3.72),3.72,B+ (3.65),3.65,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084099
Anderson John Charles,Anderson,John,MGT 4 - Financial Accounting (A),S222,2022,61,49,0.878,87.8,0.837,83.7,8.13,B+ (3.36),3.36,B (3.11),3.11,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=084097
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (A),S122,2022,77,74,0.865,86.5,0.811,81.1,6.69,B+ (3.50),3.5,B (3.04),3.04,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083796
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),S122,2022,35,9,0.778,77.8,0.667,66.7,10.28,B+ (3.67),3.67,B- (2.88),2.88,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083797
Anderson John Charles,Anderson,John,MGT 132 - Auditing (A),S122,2022,20,17,0.875,87.5,1,100,7.75,B (3.25),3.25,B+ (3.35),3.35,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083798
Anderson John Charles,Anderson,John,MGT 135 - Federal Taxation-Companies (A),S122,2022,28,24,0.958,95.8,0.958,95.8,7.08,B+ (3.54),3.54,B+ (3.45),3.45,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083799
Yavorsky Daniel Ryan,Yavorsky,Daniel,MGT 153 - Business Analytics (A),S122,2022,80,36,0.971,97.1,1,100,8.39,A- (3.89),3.89,B+ (3.56),3.56,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083800
McKay Michael J,McKay,Michael,MGT 16 - Personal Ethics at Work (A),S122,2022,47,4,0.75,75,1,100,6.5,A (4.00),4,B (3.19),3.19,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083793
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),S122,2022,48,9,0.667,66.7,0.556,55.6,4.94,B+ (3.44),3.44,C+ (2.45),2.45,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083801
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (A),S122,2022,84,74,0.932,93.2,0.973,97.3,7.23,B+ (3.68),3.68,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083802
McKay Michael J,McKay,Michael,MGT 18 - Managing Diverse Teams (A),S122,2022,27,7,1,100,1,100,4.9,B+ (3.60),3.6,B (3.08),3.08,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=083794
